index,text,true_codes,pred_codes,missing,extra,confidence
0,"муниципальный контракт № 0169300035822000371 приобретение муниципальную собственность жилого помещения (благоустроенной квартиры) рамках подпрограммы «обеспечение проживающих миасском городском округе нуждающихся жилых помещениях малоимущих граждан, которые страдают хроническими заболеваниями, перечень которых утвержден приказом минздрава россии . .2012г. № 987н « утверждении перечня тяжелых форм ...",['68'],['43'],['68'],['43'],0.9537274241447449
5,". . исполнитель обязуется своевременно оказать условиях договора услуги повторной аттестации информационной системы персональных данных «бухгалтерия» информационной системы персональных данных «кадры», заказчик обязуется принять оплатить . .",['74'],[],['74'],[],0.16325810551643372
21,". . предмет контракта: поставка товара соответствии техническим заданием (приложение № ), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных контрактом. . . наименование, количество иные характеристики поставляемого товара указаны спецификации (приложение № ), являющемся неотъемлемой частью настоящего контракта. . . икз: 222054103082005720100100150032720244 . . кбк расходо...",['27'],['29'],['27'],['29'],0.996417760848999
22,". . поставщик обязуется поставить специальную одежду (далее — товар) соответствии спецификацией (приложение № контракту), техническими характеристиками (приложение № контракту), заказчик обязуется принять оплатить товар соответствии условиями контракта. . . наименование, количество иные характеристики поставляемого товара указаны спецификации (приложение № контракту). . . идентификационный код зак...","['20', '14', '15']",['14'],"['20', '15']",[],0.9874011278152466
24,". . поставщик обязуется поставить заказчику расходные материалы (далее – товар) (ктру . . .190-00000021; . . .190-00000013) количестве, ассортименте характеристиках, указанных спецификации (приложение № контракту), являющейся неотъемлемой частью контракта, сроки, установленные графике поставки (приложение № контракту), являющемся неотъемлемой частью контракта. . . заказчик обеспечивает оплату това...",['14'],['32'],['14'],['32'],0.6675969958305359
35,". . исполнитель принимает себя обязательство оказать услуги техническому аварийному обслуживанию подъемного устройства 2022 году (далее – услуги) для нужд заказчика соответствии заданием заказчика установленные контрактом сроки, заказчик обязуется принять оплатить оказанные услуги соответствии условиями настоящего контракта. . . требования оказываемым услугам определяются заказчиком приложении № к...",['43'],['33'],['43'],['33'],0.8113390207290649
40,". . исполнитель заданию заказчика обязуется установленный контрактом срок оказать услуги проведению комплекса измерений радиационной безопасности оценки технического состояния медицинских кабинетов рентгеновскими аппаратами (код окпд – . . .190), (далее - услуги), заказчик обязуется принять оказанные услуги оплатить , соответствии спецификацией (приложение № ). идентификационный код закупки: 22274...",['71'],[],['71'],[],0.49506548047065735
47,". . предметом настоящего контракта является: поставка автомасел автохимии (далее - товар). . . наименование, количество, характеристика,","['20', '19']",[],"['20', '19']",[],0.14009812474250793
50,". . заказчик поручает, исполнитель оказывает услуги постраничной печати (далее – услуги) путем предоставления пользование копировально-множительной техники заказчику безвозмездной основе, также заправке картриджей обслуживания техники заказчика, соответствии приложениями № , , контракту. заказчик обязуется принять оказанные услуги оплатить соответствии условиями настоящего контракта. окпд2: .",['18'],['95'],['18'],['95'],0.7642048597335815
53,". . поставщик обязуется поставить канцелярские товары для нужд санкт-петербургского государственного бюджетного учреждения «культурно-досуговый центр «московский» 2022-2023 годах (126 + 3500) (далее - товар), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных контрактом. . . наименование, количество иные характеристики поставляемого товара указаны спецификации описании объ...",['25'],['17'],['25'],['17'],0.6775314807891846
61,". . настоящему контракту «исполнитель» оказывает услуги сбору, вывозу, транспортировке размещению отходов, относящиеся твердым коммунальным отходам (тко) (далее - услуги), «заказчика», территории «заказчика» адресу: 198332, санкт-петербург, маршала казакова, . , корп. , заказчик обязуется обеспечить оплату оказанных услуг. .",['38'],[],['38'],[],0.44482097029685974
